"county_fips_code","state_fips_code","pop2020"
"01001","01",56145
"01003","01",229287
"01005","01",24589
"01007","01",22136
"01009","01",57879
"01011","01",9976
"01013","01",19504
"01015","01",113469
"01017","01",32865
"01019","01",26294
"01021","01",44397
"01023","01",12418
"01025","01",23291
"01027","01",13112
"01029","01",14967
"01031","01",53230
"01033","01",55411
"01035","01",11851
"01037","01",10650
"01039","01",36930
"01041","01",13681
"01043","01",84515
"01045","01",48959
"01047","01",36098
"01049","01",71658
"01051","01",82158
"01053","01",36281
"01055","01",102371
"01057","01",16241
"01059","01",31507
"01061","01",26411
"01063","01",7990
"01065","01",14670
"01067","01",17223
"01069","01",106580
"01071","01",51582
"01073","01",655342
"01075","01",13764
"01077","01",93368
"01079","01",32857
"01081","01",166831
"01083","01",102228
"01085","01",9641
"01087","01",17895
"01089","01",379453
"01091","01",18733
"01093","01",29703
"01095","01",96990
"01097","01",412716
"01099","01",20459
"01101","01",224639
"01103","01",119883
"01105","01",8687
"01107","01",19793
"01109","01",32966
"01111","01",22920
"01113","01",58237
"01115","01",90739
"01117","01",221428
"01119","01",12225
"01121","01",79985
"01123","01",40133
"01125","01",210758
"01127","01",63143
"01129","01",15976
"01131","01",10206
"01133","01",23508
"02013","02",3401
"02016","02",5680
"02020","02",287095
"02050","02",18437
"02060","02",788
"02063","02",6427
"02066","02",2919
"02068","02",2081
"02070","02",4833
"02090","02",95651
"02100","02",2614
"02105","02",2141
"02110","02",31849
"02122","02",59414
"02130","02",13747
"02150","02",12992
"02158","02",8328
"02164","02",1493
"02170","02",110213
"02180","02",9909
"02185","02",9294
"02188","02",7644
"02195","02",3296
"02198","02",6147
"02220","02",8405
"02230","02",1179
"02240","02",6957
"02275","02",2510
"02282","02",637
"02290","02",5077
"04001","04",71875
"04003","04",127450
"04005","04",142481
"04007","04",54303
"04009","04",39211
"04011","04",9341
"04012","04",21480
"04013","04",4579081
"04015","04",217206
"04017","04",112112
"04019","04",1061175
"04021","04",480828
"04023","04",46808
"04025","04",240226
"04027","04",217824
"05001","05",17383
"05003","05",19339
"05005","05",42242
"05007","05",288774
"05009","05",37625
"05011","05",10639
"05013","05",5113
"05015","05",28276
"05017","05",9924
"05019","05",22103
"05021","05",14375
"05023","05",24935
"05025","05",7957
"05027","05",23331
"05029","05",21037
"05031","05",112245
"05033","05",63409
"05035","05",47616
"05037","05",16142
"05039","05",6802
"05041","05",11110
"05043","05",17977
"05045","05",126919
"05047","05",17897
"05049","05",12381
"05051","05",99789
"05053","05",18449
"05055","05",45597
"05057","05",21253
"05059","05",33787
"05061","05",13109
"05063","05",37757
"05065","05",13613
"05067","05",16636
"05069","05",65377
"05071","05",26513
"05073","05",6596
"05075","05",16410
"05077","05",8513
"05079","05",12944
"05081","05",12180
"05083","05",21410
"05085","05",73921
"05087","05",16644
"05089","05",16790
"05091","05",43177
"05093","05",40066
"05095","05",6584
"05097","05",9006
"05099","05",8099
"05101","05",7602
"05103","05",23167
"05105","05",10327
"05107","05",17299
"05109","05",10643
"05111","05",23283
"05113","05",19707
"05115","05",64334
"05117","05",7966
"05119","05",392980
"05121","05",18247
"05123","05",24682
"05125","05",123968
"05127","05",10164
"05129","05",7842
"05131","05",127590
"05133","05",16702
"05135","05",17424
"05137","05",12674
"05139","05",38219
"05141","05",16541
"05143","05",243216
"05145","05",78729
"05147","05",6264
"05149","05",21181
"06001","06",1662323
"06003","06",1119
"06005","06",40083
"06007","06",212744
"06009","06",46308
"06011","06",21558
"06013","06",1152333
"06015","06",27968
"06017","06",192925
"06019","06",1000918
"06021","06",28283
"06023","06",134977
"06025","06",180267
"06027","06",18046
"06029","06",901362
"06031","06",152692
"06033","06",64479
"06035","06",30016
"06037","06",9943046
"06039","06",157761
"06041","06",257332
"06043","06",17160
"06045","06",86061
"06047","06",279252
"06049","06",8763
"06051","06",14534
"06053","06",430906
"06055","06",135965
"06057","06",99606
"06059","06",3166857
"06061","06",402950
"06063","06",18967
"06065","06",2489188
"06067","06",1559146
"06069","06",64055
"06071","06",2189183
"06073","06",3332427
"06075","06",866606
"06077","06",767967
"06079","06",282249
"06081","06",758308
"06083","06",444766
"06085","06",1907105
"06087","06",269925
"06089","06",179027
"06091","06",2920
"06093","06",43245
"06095","06",446935
"06097","06",489819
"06099","06",550081
"06101","06",96385
"06103","06",64494
"06105","06",12216
"06107","06",468680
"06109","06",54515
"06111","06",841387
"06113","06",219728
"06115","06",80160
"08001","08",519883
"08003","08",16180
"08005","08",657452
"08007","08",14196
"08009","08",3555
"08011","08",5356
"08013","08",327171
"08014","08",72236
"08015","08",20661
"08017","08",1795
"08019","08",9586
"08021","08",8143
"08023","08",3921
"08025","08",5696
"08027","08",5183
"08029","08",31067
"08031","08",735538
"08033","08",2096
"08035","08",360750
"08037","08",54929
"08039","08",27313
"08041","08",728310
"08043","08",47867
"08045","08",60366
"08047","08",6235
"08049","08",15794
"08051","08",17593
"08053","08",808
"08055","08",6883
"08057","08",1389
"08059","08",583283
"08061","08",1458
"08063","08",7121
"08065","08",7987
"08067","08",56564
"08069","08",360428
"08071","08",14420
"08073","08",5680
"08075","08",21974
"08077","08",155603
"08079","08",773
"08081","08",13144
"08083","08",26408
"08085","08",43322
"08087","08",28941
"08089","08",18201
"08091","08",5001
"08093","08",18955
"08095","08",4367
"08097","08",17894
"08099","08",12106
"08101","08",169823
"08103","08",6342
"08105","08",11296
"08107","08",25560
"08109","08",6938
"08111","08",748
"08113","08",8105
"08115","08",2260
"08117","08",30631
"08119","08",25529
"08121","08",4875
"08123","08",333983
"08125","08",10047
"09001","09",942426
"09003","09",889226
"09005","09",179610
"09007","09",161657
"09009","09",851948
"09011","09",264999
"09013","09",150600
"09015","09",116540
"10001","10",183643
"10003","10",561531
"10005","10",241635
"11001","11",712816
"12001","12",271218
"12003","12",29566
"12005","12",171322
"12007","12",28593
"12009","12",608459
"12011","12",1958105
"12013","12",14078
"12015","12",194711
"12017","12",153010
"12019","12",221770
"12021","12",392973
"12023","12",72654
"12027","12",38520
"12029","12",17057
"12031","12",966728
"12033","12",322364
"12035","12",118451
"12037","12",12201
"12039","12",45277
"12041","12",18885
"12043","12",14198
"12045","12",13534
"12047","12",14521
"12049","12",26822
"12051","12",42813
"12053","12",198792
"12055","12",106639
"12057","12",1497957
"12059","12",19594
"12061","12",162518
"12063","12",46085
"12065","12",14543
"12067","12",8482
"12069","12",375492
"12071","12",790767
"12073","12",295460
"12075","12",42214
"12077","12",8364
"12079","12",18707
"12081","12",411219
"12083","12",373513
"12085","12",162088
"12086","12",2707303
"12087","12",73900
"12089","12",91113
"12091","12",212820
"12093","12",42297
"12095","12",1404396
"12097","12",385315
"12099","12",1507600
"12101","12",570412
"12103","12",976802
"12105","12",744552
"12107","12",74815
"12109","12",278715
"12111","12",337186
"12113","12",189139
"12115","12",443465
"12117","12",474171
"12119","12",139018
"12121","12",44851
"12123","12",21600
"12125","12",15182
"12127","12",561497
"12129","12",34319
"12131","12",76648
"12133","12",25932
"13001","13",18325
"13003","13",8393
"13005","13",11036
"13007","13",2971
"13009","13",45099
"13011","13",19352
"13013","13",85588
"13015","13",109426
"13017","13",16614
"13019","13",19408
"13021","13",152737
"13023","13",12955
"13025","13",19202
"13027","13",15357
"13029","13",40755
"13031","13",80839
"13033","13",22648
"13035","13",25426
"13037","13",6231
"13039","13",55388
"13043","13",10985
"13045","13",121633
"13047","13",67996
"13049","13",13430
"13051","13",289463
"13053","13",10551
"13055","13",24843
"13057","13",265274
"13059","13",127795
"13061","13",2866
"13063","13",292646
"13065","13",6582
"13067","13",762944
"13069","13",43218
"13071","13",45542
"13073","13",160377
"13075","13",17291
"13077","13",150849
"13079","13",12231
"13081","13",22034
"13083","13",16057
"13085","13",27113
"13087","13",26457
"13089","13",762009
"13091","13",20452
"13093","13",13174
"13095","13",86477
"13097","13",147988
"13099","13",10037
"13101","13",4002
"13103","13",65765
"13105","13",19335
"13107","13",22507
"13109","13",10638
"13111","13",26521
"13113","13",115821
"13115","13",98604
"13117","13",250847
"13119","13",23504
"13121","13",1077402
"13123","13",31978
"13125","13",2984
"13127","13",85568
"13129","13",58780
"13131","13",24491
"13133","13",18837
"13135","13",942627
"13137","13",46047
"13139","13",206591
"13141","13",8494
"13143","13",30383
"13145","13",36080
"13147","13",26406
"13149","13",11973
"13151","13",239139
"13153","13",160110
"13155","13",9387
"13157","13",76199
"13159","13",14483
"13161","13",15213
"13163","13",15267
"13165","13",8746
"13167","13",9667
"13169","13",28787
"13171","13",19261
"13173","13",10737
"13175","13",47512
"13177","13",30234
"13179","13",63004
"13181","13",8031
"13183","13",20171
"13185","13",118268
"13187","13",34186
"13189","13",21162
"13191","13",14387
"13193","13",12712
"13195","13",30457
"13197","13",8516
"13199","13",21164
"13201","13",5622
"13205","13",21602
"13207","13",28042
"13209","13",9012
"13211","13",19636
"13213","13",40032
"13215","13",196442
"13217","13",113295
"13219","13",41124
"13221","13",15383
"13223","13",173359
"13225","13",27950
"13227","13",33127
"13229","13",19522
"13231","13",19121
"13233","13",42840
"13235","13",11191
"13237","13",22520
"13239","13",2271
"13241","13",17273
"13243","13",6682
"13245","13",202079
"13247","13",90939
"13249","13",5196
"13251","13",14012
"13253","13",8060
"13255","13",67414
"13257","13",26107
"13259","13",6689
"13261","13",29282
"13263","13",6143
"13265","13",1562
"13267","13",25365
"13269","13",8074
"13271","13",15781
"13273","13",8523
"13275","13",44372
"13277","13",40719
"13279","13",26973
"13281","13",12247
"13283","13",6822
"13285","13",70214
"13287","13",7882
"13289","13",8103
"13291","13",25358
"13293","13",26527
"13295","13",70116
"13297","13",96875
"13299","13",35826
"13301","13",5232
"13303","13",20150
"13305","13",30023
"13307","13",2595
"13309","13",7751
"13311","13",31094
"13313","13",103837
"13315","13",8502
"13317","13",9694
"13319","13",8812
"13321","13",19972
"15001","15",203340
"15003","15",963826
"15005","15",87
"15007","15",71851
"15009","15",167902
