"state_fips_code","county_fips_code","state","county","confirmed_cases","deaths","test_7day_total","positivity_7day_avg","community","school","report_date","healthwebsites"
"01","01001","Alabama","Autauga County",9642,137,359,6.41,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/autauga/index.html"",""https://www.facebook.com/Autauga-County-Health-Department-344912558993384/""]"
"01","01003","Alabama","Baldwin County",36108,489,790,8.23,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/baldwin/index.html"",""https://www.facebook.com/BaldwinCHD""]"
"01","01005","Alabama","Barbour County",3432,70,90,8.89,"substantial","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/barbour/index.html"",""https://www.facebook.com/Barbour-County-Health-Department-330166737141764/?fref=ts""]"
"01","01007","Alabama","Bibb County",4073,80,124,3.23,"low","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/bibb/index.html"",""https://www.facebook.com/BibbCHD""]"
"01","01009","Alabama","Blount County",9649,156,258,4.26,"substantial","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/blount/index.html"",""https://www.facebook.com/BlountCHD""]"
"01","01011","Alabama","Bullock County",1488,42,63,0,"moderate","Lowest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/bullock/index.html"",""https://www.facebook.com/Bullock-County-Health-Department-1479182995662986/"",""https://twitter.com/alpublichealth""]"
"01","01013","Alabama","Butler County",3164,90,76,3.95,"moderate","Higher risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/butler/index.html"",""https://www.facebook.com/ButlerCHD""]"
"01","01015","Alabama","Calhoun County",21041,405,482,7.26,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/calhoun/index.html"",""https://www.facebook.com/CalhounCHD""]"
"01","01017","Alabama","Chambers County",5370,133,118,12.71,"high","Highest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/chambers/index.html"",""https://www.facebook.com/ChambersCHD""]"
"01","01019","Alabama","Cherokee County",2883,53,64,4.69,"moderate","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/cherokee/index.html"",""https://www.facebook.com/CherokeeCHD""]"
"01","01021","Alabama","Chilton County",6342,143,189,9.52,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/chilton/index.html"",""https://www.facebook.com/ChiltonCHD""]"
"01","01023","Alabama","Choctaw County",733,26,16,0,"low","Lowest risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/choctaw/index.html"",""https://www.facebook.com/Choctaw-County-Health-Department-1510747159203888/""]"
"01","01025","Alabama","Clarke County",4598,78,67,1.49,"moderate","Lower risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/clarke/index.html"",""https://www.facebook.com/ClarkeCHD/?fref=ts""]"
"01","01027","Alabama","Clay County",2267,65,64,9.38,"substantial","Moderate risk of transmission in schools","2021-06-06","[""http://www.alabamapublichealth.gov/clay/index.html"",""https://www.facebook.com/ClayCHD""]"
