"ID","UrlName","Friendly","state_fips_code","county_fips_code","state","state_name","Name","county_name","CenterState","center_state_fips_code"
5920,"Omaha","Omaha","19","19155","IA","Iowa","Omaha, NE/IA","Pottawattamie County","NE","31"
2120,"DesMoines","Des Moines","19","19181","IA","Iowa","Des Moines, IA","Warren County","IA","19"
2120,"DesMoines","Des Moines","19","19049","IA","Iowa","Des Moines, IA","Dallas County","IA","19"
2120,"DesMoines","Des Moines","19","19153","IA","Iowa","Des Moines, IA","Polk County","IA","19"
9000,"Wheeling","Wheeling","39","39013","OH","Ohio","Wheeling, WV/OH","Belmont County","OH","39"
1840,"Columbus_OH","Columbus (OH)","39","39129","OH","Ohio","Columbus, OH","Pickaway County","OH","39"
1840,"Columbus_OH","Columbus (OH)","39","39041","OH","Ohio","Columbus, OH","Delaware County","OH","39"
1840,"Columbus_OH","Columbus (OH)","39","39089","OH","Ohio","Columbus, OH","Licking County","OH","39"
1840,"Columbus_OH","Columbus (OH)","39","39049","OH","Ohio","Columbus, OH","Franklin County","OH","39"
1840,"Columbus_OH","Columbus (OH)","39","39097","OH","Ohio","Columbus, OH","Madison County","OH","39"
1840,"Columbus_OH","Columbus (OH)","39","39045","OH","Ohio","Columbus, OH","Fairfield County","OH","39"
3400,"HuntingtonAshland","Huntingon/Ashland","39","39087","OH","Ohio","Huntingon/Ashland, WV/KY/OH","Lawrence County","OH","39"
80,"Akron","Akron Area","39","39153","OH","Ohio","Akron, OH","Summit County","OH","39"
80,"Akron","Akron Area","39","39133","OH","Ohio","Akron, OH","Portage County","OH","39"
1640,"Cincinnati","Cincinnati Area","39","39061","OH","Ohio","Cincinnati, OH/KY/IN","Hamilton County","OH","39"
1640,"Cincinnati","Cincinnati Area","39","39025","OH","Ohio","Cincinnati, OH/KY/IN","Clermont County","OH","39"
1640,"Cincinnati","Cincinnati Area","39","39165","OH","Ohio","Cincinnati, OH/KY/IN","Warren County","OH","39"
1640,"Cincinnati","Cincinnati Area","39","39015","OH","Ohio","Cincinnati, OH/KY/IN","Brown County","OH","39"
