"fips","name","websites"
"48171","Gillespie County","[""http://www.fbgtx.org""]"
"32023","Nye County Clinic","[""https://www.nyecounty.net/99/Health-Human-Services""]"
"48015","Austin Public Health","[""http://www.austintexas.gov/health"",""https://www.facebook.com/austinpublichealth"",""https://twitter.com/auspublichealth""]"
"46021","Campbell County Clinic","[""http://www.lintonhospital.com""]"
"41011","Coos Health & Wellness","[""http://www.co.coos.or.us/Departments/CoosHealthWellness.aspx"",""https://www.facebook.com/CoosHealthWellness/""]"
"25007","County of Dukes County","[""http://www.dukescounty.org/Pages/DukesCountyMA_ACHCA/index""]"
"55129","Washburn County Health","[""http://www.co.washburn.wi.us/departments/humanservices/index.htm""]"
"51087","Henrico Health District","[""http://www.co.henrico.va.us/health""]"
"37025","Cabarrus Health Alliance","[""http://www.cabarrushealth.org""]"
"51005","Alleghany Health District","[""http://www.vdh.state.va.us/LHD/Alleghany""]"
"51013","Arlington Health District","[""http://www.arlingtonva.us""]"
"08009","Baca County Public Health","[""http://bacacountyco.gov/cntyhealth.html"",""https://www.facebook.com/BacaCountyPublicHealthAgency/"",""https://twitter.com/BCPHA""]"
"05005","Baxter County Health Unit","[""http://www.baxterhometownhealth.org""]"
"19029","Cass County Health System","[""http://www.casshealth.org""]"
"20039","Decatur Health Department","[""http://www.kalhd.org/lhd/decatur""]"
"29065","Dent County Health Center","[""https://www.facebook.com/DentCountyHealthCtr/""]"
"37093","Hoke County Health Center","[""http://www.hokecounty.net""]"
"48225","Houston Health Department","[""http://www.houstonhealth.org""]"
"29115","Linn County Health Center","[""http://www.linncohealth.org""]"
"25021","Norfolk Health Department","[""http://www.virtualnorfolk.org""]"
"41053","Polk County Public Health","[""http://www.co.polk.or.us""]"
"48415","Scurry County Health Unit","[""http://www.co.scurry.tx.us/default.aspx?Scurry_County/HealthUnit"",""https://www.facebook.com/scurrycountyhealthunit/""]"
"53061","Snohomish Health District","[""http://www.snohd.org"",""https://www.facebook.com/SnohomishHealth"",""https://twitter.com/SnoHD""]"
"29013","Bates County Health Center","[""http://www.batescountyhealthcenter.org""]"
"27015","Brown County Public Health","[""http://www.co.brown.mn.us/public-health-home"",""https://www.facebook.com/BCPublicHealth/""]"
"53011","Clark County Public Health","[""http://www.clark.wa.gov/health""]"
"27039","Dodge County Public Health","[""http://www.co.dodge.mn.us/""]"
"19063","Emmet County Public Health","[""http://www.emmetcountyia.com""]"
"08049","Grand County Public Health","[""http://co.grand.co.us/""]"
"41023","Grant County Health Office","[""http://communitycounselingsolutions.org/centers/grant-county-health-department/""]"
"29083","Henry County Health Center","[""http://henrycohealth.org/""]"
"39077","Huron County Public Health","[""http://www.huroncohealth.com"",""https://www.facebook.com/huroncohealth"",""https://twitter.com/huroncohealth""]"
"39109","Miami County Public Health","[""http://www.miamicountyhealth.net""]"
"29153","Ozark County Health Center","[""http://www.ocph.org"",""https://www.facebook.com/Ozark-County-Health-Department-157472307675983/""]"
"25023","Plymouth Health Department","[""http://www.plymouth-ma.gov""]"
"56039","Teton County Public Health","[""http://www.tetonwyo.org/ph""]"
"37183","Wake County Human Services","[""http://www.wakegov.com"",""https://www.facebook.com/wakegov/"",""https://twitter.com/wakegov""]"
"29223","Wayne County Health Center","[""http://www.waynecountyhealthcenter.com"",""https://www.facebook.com/Wayne-County-Health-Center-117200508379239/""]"
"19185","Wayne County Public Health","[""http://waynecountyia.org""]"
"29225","Webster County Health Unit","[""http://webstercohealth.com/"",""https://www.facebook.com/Webster-County-Health-Unit-352140721472239/""]"
"02020","Anchorage Health Department","[""http://www.muni.org/departments/health""]"
"19023","Butler County Public Health","[""http://www.butlercoiowa.org""]"
"29035","Carter County Health Center","[""http://www.communityconnection.org""]"
"27019","Carver County Public Health","[""http://www.co.carver.mn.us""]"
"27021","Cass County Health Services","[""http://www.co.cass.mn.us""]"
"06011","Colusa County Public health","[""http://countyofcolusa.com""]"
"01039","Covington Health Department","[""http://www.alabamapublichealth.gov/covington/index.html"",""https://www.facebook.com/CovingtonCHD""]"
"30017","Custer County Public Health","[""https://www.custercountymt.com/public-health/""]"
"38029","Emmons County Public Health","[""http://www.emmonsnd.com/public-health.html"",""https://www.facebook.com/ECPH.gov/""]"
"09001","Fairfield Health Department","[""http://www.fairfieldct.org/health.htm""]"
"08047","Gilpin County Public Health","[""http://www.co.gilpin.co.us""]"
"19075","Grundy County Public Health","[""http://www.grundycounty.org/publichealth/index.asp""]"
"19107","Keokuk County Public Health","[""http://www.keokucountyia.com""]"
"19115","Louisa County Public Health","[""https://louisacountyia.gov/health/"",""https://www.facebook.com/Louisacountypublichealth""]"
"19119","Lyon County Health Services","[""http://www.lyoncountyiowa.com""]"
"06039","Madera County Public Health","[""http://maderacounty.com""]"
"33013","Merrimack Health Department","[""http://www.ci.merrimack.nh.us""]"
"19133","Monona County Public Health","[""http://www.mononacountypublichealth.org""]"
"55081","Monroe County Health Agency","[""http://www.co.monroe.wi.us/departments/health-department/"",""https://www.facebook.com/pages/Monroe-County-Health-Department/785833994856888""]"
"25019","Nantucket Health Department","[""http://www.nantucket-ma.gov""]"
"09009","New Haven Health Department","[""http://www.cityofnewhaven.com/Health/index.asp""]"
"29159","Pettis County Health Center","[""http://www.Pettiscountyhealthcenter.com"",""https://www.facebook.com/PettisCountyHealthCenter/""]"
"39135","Preble County Public Health","[""http://www.preblecountyhealth.org"",""https://www.facebook.com/PrebleCoHealth/"",""https://twitter.com/preblecohealth""]"
"38073","Ransom County Public Health","[""http://www.ndhealth.gov/Localhd/RCHD/""]"
"39141","Ross County Health District","[""http://www.rosscountyhealth.com""]"
"27143","Sibley County Public Health","[""http://www.sibleycountypublichealth.net""]"
"53057","Skagit County Public Health","[""https://www.skagitcounty.net/Departments/Health/main.htm""]"
"39153","Summit County Public Health","[""http://www.scphoh.org/""]"
"27167","Wilkin County Public Health","[""http://www.co.wilkin.mn.us""]"
"39173","Wood County Health District","[""http://www.WoodCountyHealth.org"",""https://www.facebook.com/WCHDOhio"",""https://twitter.com/WCHDOhio""]"
"12005","Bay County Health Department","[""http://Bay.FLHealth.gov""]"
"26017","Bay County Health Department","[""http://www.baycounty-mi.gov""]"
"08013","Boulder County Public Health","[""http://www.bouldercountyhealth.org""]"
"19025","Calhoun County Public Health","[""https://www.calhouncountyiowa.com/"",""https://www.facebook.com/calcopublichealth/""]"
"51041","Chesterfield Health District","[""http://www.vdh.state.va.us/LHD/chesterfield/index.htm""]"
"13067","Cobb & Douglas Public Health","[""http://www.cobbanddouglaspublichealth.org"",""https://www.facebook.com/CDPHga/"",""https://twitter.com/cdphga""]"
"13097","Cobb & Douglas Public Health","[""http://www.cobbanddouglaspublichealth.org"",""https://www.facebook.com/CDPHga/"",""https://twitter.com/cdphga""]"
