"date","confirmed_cases","deaths"
"2021-10-10",44367229,713630
"2021-10-09",44309492,713298
"2021-10-08",44271937,712795
"2021-10-07",44158336,710316
"2021-10-06",44053737,707898
"2021-10-05",43927889,705369
"2021-10-04",43829322,703336
"2021-10-03",43657135,701300
"2021-10-02",43631107,701051
"2021-10-01",43587737,700430
"2021-09-30",43460939,697960
"2021-09-29",43344786,695215
"2021-09-28",43212850,692716
"2021-09-27",43103083,690532
"2021-09-26",42908051,688151
"2021-09-25",42874269,687843
"2021-09-24",42822396,687214
"2021-09-23",42682470,684467
"2021-09-22",42554584,681303
"2021-09-21",42407090,678522
"2021-09-20",42277103,676162
"2021-09-19",42069188,673912
"2021-09-18",42029747,673608
"2021-09-17",41961107,672784
"2021-09-16",41793703,670130
"2021-09-15",41638769,666730
"2021-09-14",41468547,664157
"2021-09-13",41315853,661526
"2021-09-12",41030974,659825
"2021-09-11",40991046,659527
"2021-09-10",40916887,658839
"2021-09-09",40740812,656408
"2021-09-08",40570391,653194
"2021-09-07",40385956,650992
"2021-09-06",40084819,648762
"2021-09-05",40007857,648247
"2021-09-04",39963835,647865
"2021-09-03",39897479,647339
"2021-09-02",39705955,645358
"2021-09-01",39530381,642424
"2021-08-31",39319268,640492
"2021-08-30",39158998,639053
"2021-08-29",38878923,637332
"2021-08-28",38836454,637052
"2021-08-27",38751224,636485
"2021-08-26",38555288,634704
"2021-08-25",38367530,632489
"2021-08-24",38196432,631025
"2021-08-23",38046296,629618
"2021-08-22",37780149,628259
"2021-08-21",37739618,628075
"2021-08-20",37660455,627602
"2021-08-19",37460981,626074
"2021-08-18",37301156,624338
"2021-08-17",37136146,623210
"2021-08-16",36991905,622222
"2021-08-15",36732685,621207
"2021-08-14",36688507,621032
"2021-08-13",36638712,620792
"2021-08-12",36451300,619702
"2021-08-11",36312583,618682
"2021-08-10",36157585,618348
"2021-08-09",35995243,617300
"2021-08-08",35816163,616580
"2021-08-07",35780150,616451
