"date","adult_icu_bed_used","inIcuCurrently","hospitalizedCurrently","adult_icu_beds_capacity","inpatient_beds_used","inpatient_beds_capacity"
"2020-12-16",69666,27039,122458,89434,608831,818605
"2020-12-17",69693,26891,123208,89585,607058,819655
"2020-12-18",69423,26801,121337,89529,605107,819673
"2020-12-19",68433,26667,120282,89594,585874,816314
"2020-12-20",67237,27060,121778,89313,571166,812896
"2020-12-21",67530,27395,123137,89390,540978,767394
"2020-12-22",69255,27761,127287,89656,562450,776075
"2020-12-23",68847,27730,127766,89490,589958,817654
"2020-12-24",67752,27408,125454,89524,563029,808791
"2020-12-25",65571,27204,121580,89028,521043,803382
"2020-12-26",65578,27555,123776,89276,521911,803207
"2020-07-15",15549,10655,73902,23357,308480,433116
"2020-12-27",66347,28024,128345,89158,539385,804147
"2020-12-28",67235,28366,129749,89020,525323,758799
"2020-12-29",69521,28554,131666,89429,554306,765268
"2021-07-01",58622,4076,17217,84856,588435,795623
"2020-12-30",70021,28400,133223,89725,599173,816943
"2021-07-02",58175,4505,18525,85081,580563,793823
"2020-12-31",69717,28474,132160,89704,593380,814571
"2021-07-03",56265,4162,17017,84638,555363,788945
"2021-07-04",54573,4270,17311,84345,539168,786336
"2021-07-05",54078,4346,17495,83825,492599,725344
"2020-07-22",33663,13913,73243,49711,410576,566531
"2021-07-06",55250,4487,18216,83998,508829,727500
"2020-07-23",42304,15960,69735,62388,461228,660175
"2021-07-07",58426,4611,19247,84874,582541,793662
"2020-07-24",42755,15764,67925,62530,449488,636592
"2021-07-08",58843,4742,19620,84955,591215,795252
"2020-07-25",45324,16171,72268,67101,461737,668194
"2021-07-09",59227,4804,19815,85172,590363,794947
"2020-07-26",45091,14530,62144,63316,424362,623590
"2021-07-10",57484,4931,20206,84590,571627,790250
"2020-07-27",45845,16557,67375,69637,452325,675712
"2021-07-11",56231,5156,20731,84471,559209,787884
"2020-07-28",48144,16938,69854,71840,476226,684508
"2021-07-12",56475,5397,21703,84215,520620,730961
"2020-07-29",48733,16254,66625,71136,483207,686623
"2021-02-01",66515,23008,97754,89752,532258,755722
"2021-07-13",59232,5581,22658,84739,543294,735760
"2020-07-30",50191,16939,67062,73552,488339,697575
"2021-02-02",68158,22598,97068,90062,555037,758973
"2021-07-14",60722,5755,23673,85429,600192,796980
"2020-07-31",50137,16824,65974,72893,485660,696253
"2021-02-03",68223,22200,95866,89982,599222,810721
"2021-07-15",60480,5958,24412,85320,600512,797869
"2021-02-04",68112,21666,93086,90189,598598,810041
"2021-07-16",60173,6290,25203,85425,595868,797196
"2021-02-05",67844,21124,90488,89951,594258,808348
"2021-07-17",58917,6468,25827,85074,577096,793342
"2021-02-06",66614,20612,87222,89440,578248,805151
"2021-07-18",57310,6766,26924,84734,563552,791136
"2021-02-07",64908,20179,85840,89150,561573,799155
"2021-07-19",57599,7200,28568,84590,525069,731922
"2021-02-08",64618,20114,83646,88953,527830,752414
"2021-07-20",60398,7649,30458,85196,548582,734714
"2021-02-09",66759,19796,83388,89561,553661,759983
"2021-07-21",61179,7955,31908,85632,603745,799563
"2021-02-10",67160,19162,81000,89649,598926,809204
"2021-07-22",61155,8206,33382,85454,602503,797743
"2021-02-11",66621,18477,77835,89399,596117,808252
"2021-07-23",61166,8569,34979,85645,598539,798323
"2021-02-12",66215,18082,74914,89418,588817,806073
"2021-07-24",59974,8939,36071,85302,579262,794350
"2021-02-13",64756,17646,72257,88834,567808,800881
"2021-07-25",58744,9364,38043,85139,567446,791449
"2021-02-14",62848,17188,70436,89153,552648,796483
"2021-07-26",59142,9975,40627,84678,534711,740417
"2021-02-15",62770,17075,68662,88150,515302,748293
"2021-07-27",61472,10493,43361,85167,558404,742694
"2021-02-16",64162,16757,68310,88621,534546,751621
"2021-07-28",62921,10828,45539,86013,608169,798324
"2020-10-01",57063,9576,37579,81573,554472,773645
"2021-02-17",65245,16441,69995,89180,584409,804402
"2021-07-29",62701,11346,47298,85538,606899,797883
"2020-10-02",56900,9602,37519,82406,549219,780862
"2021-02-18",64740,15944,65872,88777,584276,804269
"2021-07-30",62646,11894,49718,85672,602298,795722
"2020-10-03",55367,9654,37275,81857,530144,776112
"2021-02-19",64601,15306,63962,88773,584165,804370
"2021-07-31",61386,12532,51524,85414,584673,793187
"2020-10-04",53911,9785,37781,81566,514260,773587
"2021-02-20",63133,14994,61706,88409,565915,801242
"2020-10-05",54661,10109,39086,82251,522570,777761
"2021-02-21",61667,14633,60828,88219,552863,798681
"2020-10-06",57401,10451,40974,82576,549988,780931
"2021-02-22",62089,14582,60017,88558,522424,752860
"2020-10-07",58192,10466,41678,82892,562800,786124
"2021-02-23",64558,14216,59373,89014,548454,757657
"2020-10-08",58427,10374,42221,82918,566944,788424
"2021-02-24",64996,13702,58683,89378,597928,808999
"2020-10-09",58930,10382,41658,83700,564207,790033
"2021-02-25",64412,13345,56504,88815,594852,806394
"2020-10-10",57980,10413,41306,83852,546257,787125
"2021-02-26",63873,12947,54417,88717,589359,805584
"2020-10-11",56061,10494,41280,83150,528781,779864
"2021-02-27",62355,12537,52502,88336,570251,802941
"2020-10-12",56621,10726,42624,84097,531004,783617
"2021-02-28",60667,12402,51630,88410,553642,798726
"2020-10-13",58881,10490,43818,84213,557208,785802
"2020-10-14",59496,10361,43749,84381,569971,794684
"2020-10-15",59925,10535,43849,84836,570556,795749
"2020-10-16",60596,10584,44177,85681,568620,797541
"2020-10-17",61163,10874,45252,87066,548579,794049
"2020-10-18",57490,10780,43760,84728,532713,794007
"2020-10-19",58114,11326,45089,85777,531007,791594
"2020-10-20",60636,11375,46437,86008,554730,805949
"2020-10-21",61210,11721,47393,86260,575608,818096
"2020-10-22",61171,11734,47301,86522,577666,822392
"2020-10-23",61718,11773,47520,86971,574456,822108
"2020-10-24",59958,11890,47727,86418,554702,821287
"2020-10-25",58352,11956,48044,86228,538084,818707
"2020-10-26",58404,12306,49484,86457,520567,795677
"2020-10-27",61131,12600,51233,87175,544931,795761
"2020-10-28",62415,12829,52968,87849,579931,858467
"2020-10-29",62565,12922,52945,87790,578578,813495
"2021-05-01",60071,10048,39595,86356,569168,797408
"2020-10-30",62268,13015,53954,87373,573694,800761
"2021-05-02",58508,10067,39535,86215,554608,793815
"2020-10-31",60869,13072,53856,87095,544796,788543
"2021-05-03",58745,10274,39839,85975,521107,743775
"2021-05-04",61365,10218,39808,86069,547191,748567
"2021-05-05",61739,9923,39444,86667,597563,805224
"2021-05-06",61789,9808,38452,86824,596441,805201
"2021-05-07",61212,9603,37625,86581,587312,799535
"2021-05-08",59352,9391,36148,86124,563451,796000
"2021-05-09",57703,9323,35449,85766,547761,791235
"2021-05-10",57562,9339,35440,85539,508908,738849
"2021-05-11",59995,9266,35259,85799,536018,743547
"2021-05-12",60624,9009,34886,86183,587654,797307
"2021-05-13",60329,8845,33943,86014,586392,799088
"2021-05-14",59635,8485,32796,86117,580264,797624
"2021-05-15",58240,8335,31516,85620,559907,794105
"2021-05-16",56819,8246,31156,85418,546513,790034
"2021-05-17",57405,8255,30930,85528,513574,740016
"2021-05-18",59936,8089,30655,86086,538274,744609
"2021-05-19",60586,7946,30711,86278,590108,798464
"2021-05-20",60405,7746,29360,86050,591317,801279
